,accenumb,taxon,genus,species,spauthor,subtaxa,subtauthor,cropname,avail,instcode,acckey,collnumb,collcode,taxno,accename,acqdate,origcty,collsite,latitude,longitude,elevation,colldate,bredcode,sampstat,ancest,collsrc,donorcode,donornumb,othernumb,duplsite,storage,latdec,longdec,remarks,history,released,Seq,Inbred.Line,Accesion.N,Breeding.program,Pop.structure,Year.Rel,P1A,P2A,eraA,GroupA,TypeA,SourceA,X,X.1,X.2,X.3,Ped_line
195,Ames 23410,Zea mays subsp. mays,Zea,mays,L.,subsp. mays,,sweet corn,Y,USA020,1535034,,NA,311987,A265,19961125,,,,,NA,,NA,400,[(B164 X H76) B164(2)],40,NA,,:A265;USA126:Ames 23410;:1996:44,,10,NA,NA,,"DEVELOPED   Minnesota, United States by University of Minnesota. DONATED  11/25/1996 Minnesota, United States by University of Minnesota",,754,A265,Ames23410,Minnesota,unclassified,0,B164,A265_2,0,0,INBRED,0,,NA,NA,NA,P3535
87,Ames 19015,Zea mays subsp. mays,Zea,mays,L.,subsp. mays,,sweet corn,N,USA020,1082247,,NA,311987,Va58,19920227,,,,,NA,,NA,400,[(C103 X T8(2)) X (C.I.21E X C103(2))],40,NA,,:Va58;USA126:Ames 19015;:F1458-1;:F1458-3;:F1459-1;:id=47955,,10,NA,NA,,"DEVELOPED   Virginia, United States by Virginia Polytechnic Institute and State University. DONATED  02/27/1992 North Carolina, United States by Sisco, P., USDA, ARS",,3996,Va58,Ames19015,Other,unclassified,0,[(C103 X T8 (2))] X (C.I.21E X C103 (2))],0,0,0,0,0,,NA,NA,NA,C46
182,Ames 23399,Zea mays subsp. mays,Zea,mays,L.,subsp. mays,,sweet corn,Y,USA020,1534917,,NA,311987,A201,19961125,,,,,NA,,NA,400,[(C11 X C23) C11(2)],40,NA,,:A201;USA126:Ames 23399;:1981:1197;:1996:27,,10,NA,NA,,"DEVELOPED   Minnesota, United States by University of Minnesota. DONATED  11/25/1996 Minnesota, United States by University of Minnesota",,711,A201,Ames23399,Minnesota,unclassified,0,A201_2,A2,0,0,INBRED,0,,NA,NA,NA,PrideofSaline(white strain)
186,Ames 23402,Zea mays subsp. mays,Zea,mays,L.,subsp. mays,,sweet corn,Y,USA020,1534932,,NA,311987,A208,19961125,,,,,NA,,NA,400,[(C11 X C23) C11(2)],40,NA,,:A208;USA126:Ames 23402;:1996:30,,10,NA,NA,,"DEVELOPED   Minnesota, United States by University of Minnesota. DONATED  11/25/1996 Minnesota, United States by University of Minnesota",,721,A208,Ames23402,Minnesota,unclassified,0,C11 ,A204_3,0,0,INBRED,0,,NA,NA,NA,Coahila 8 
184,Ames 23400,Zea mays subsp. mays,Zea,mays,L.,subsp. mays,,sweet corn,Y,USA020,1534918,,NA,311987,A203,19961125,,,,,NA,,NA,400,[(C11 X C23) C11(3)],40,NA,,:A203;USA126:Ames 23400;:1991:290;:1996:28,,10,NA,NA,,"DEVELOPED   Minnesota, United States by University of Minnesota. DONATED  11/25/1996 Minnesota, United States by University of Minnesota",,715,A203,Ames23400,Minnesota,unclassified,0,C11,A203_3,0,0,INBRED,0,,NA,NA,NA,KrugYellowDent(Shroupstrain)
185,Ames 23401,Zea mays subsp. mays,Zea,mays,L.,subsp. mays,,sweet corn,Y,USA020,1534919,,NA,311987,A204,19961125,,,,,NA,,NA,400,[(C11 X C23) C11(3)],40,NA,,:A204;USA126:Ames 23401;:1979:1104;:1996:29,,10,NA,NA,,"DEVELOPED   Minnesota, United States by University of Minnesota. DONATED  11/25/1996 Minnesota, United States by University of Minnesota",,719,A204,Ames23401,Minnesota,unclassified,0,C11,A204_3,0,0,INBRED,0,,NA,NA,NA,NCIaDDC
188,Ames 23404,Zea mays subsp. mays,Zea,mays,L.,subsp. mays,,sweet corn,Y,USA020,1534949,,NA,311987,A223,19961125,,,,,NA,,NA,400,[(C14 X A374) A374(3)],40,NA,,:A223;USA126:Ames 23404;:1991:293;:1996:33,,10,NA,NA,,"DEVELOPED   Minnesota, United States by University of Minnesota. DONATED  11/25/1996 Minnesota, United States by University of Minnesota",,729,A223,Ames23404,Minnesota,unclassified,0,C14,A223_3,0,0,INBRED,0,,NA,NA,NA,LancasterSurecrop
187,Ames 23403,Zea mays subsp. mays,Zea,mays,L.,subsp. mays,,sweet corn,Y,USA020,1534944,,NA,311987,A218,19961125,,,,,NA,,NA,400,[(C14 X A374) C14(2)],40,NA,,:A218;USA126:Ames 23403;:1996:32,,10,NA,NA,,"DEVELOPED   Minnesota, United States by University of Minnesota. DONATED  11/25/1996 Minnesota, United States by University of Minnesota",,726,A218,Ames23403,Minnesota,unclassified,0,C14,A218_2,0,0,INBRED,0,,NA,NA,NA,MannLeaming
243,Ames 23465,Zea mays subsp. mays,Zea,mays,L.,subsp. mays,,sweet corn,Y,USA020,1535375,,NA,311987,A629,19961125,,,,,NA,,NA,400,[(CV3 X Wf9) Wf9],40,NA,,:A629;USA126:Ames 23465;:1996:113,,10,NA,NA,,"DEVELOPED   Minnesota, United States by University of Minnesota. DONATED  11/25/1996 Minnesota, United States by University of Minnesota",,872,A629,Ames23465,Minnesota,unclassified,0,Wf9 ,A629_1,0,0,INBRED,0,,NA,NA,NA,OH28_1
325,Ames 24741,Zea mays subsp. mays,Zea,mays,L.,subsp. mays,,sweet corn,Y,USA020,1557052,,NA,311987,MS206,19980420,,,,,NA,,NA,400,[(Golden Glow X M. Amargo) S5 X Duncan] S2 X Duncan,40,NA,,:MS206;USA126:Ames 24741,,10,NA,NA,,"DEVELOPED  1954 Michigan, United States by Michigan State University. DONATED  04/20/1998 Michigan, United States by Dysinger, K., Michigan State University",1954,2844,MS206,Ames24741,Michigan,unclassified,1964,MS12_4,DuncanOP,0,0,0,[(Golden Glow X M. Amargo) S5 X Duncan] S2 X Duncan,,NA,NA,NA,OH45A_4
293,Ames 24706,Zea mays subsp. mays,Zea,mays,L.,subsp. mays,,sweet corn,Y,USA020,1557005,,NA,311987,MS12,19980420,,,,,NA,,NA,400,[(Golden Glow X M. Amargo) S5 X Duncan] S2 X Golden Glow,40,NA,,:MS12;USA126:Ames 24706,,10,NA,NA,,"DEVELOPED  1958 Michigan, United States by Michigan State University. DONATED  04/20/1998 Michigan, United States by Dysinger, K., Michigan State University",1958,2842,MS12,Ames24706,Michigan,unclassified,1958,MS12_4,GoldenGlow,0,0,INBRED,[(Golden Glow X M. Amargo) S5 X Duncan] S2 X Golden Glow,,NA,NA,NA,P3978
294,Ames 24707,Zea mays subsp. mays,Zea,mays,L.,subsp. mays,,sweet corn,Y,USA020,1557006,,NA,311987,MS24,19980420,,,,,NA,,NA,400,[(Golden Glow X M. Amargo) S5 X Duncan] S2 X Golden Glow,40,NA,,:MS24;USA126:Ames 24707,,10,NA,NA,,"DEVELOPED  1954 Michigan, United States by Michigan State University. DONATED  04/20/1998 Michigan, United States by Dysinger, K., Michigan State University",1954,2857,MS24,Ames24707,Michigan,unclassified,1954,MS12_4,DuncanOP,0,0,0,0,,NA,NA,NA,LittleBriton
295,Ames 24708,Zea mays subsp. mays,Zea,mays,L.,subsp. mays,,sweet corn,Y,USA020,1557049,,NA,311987,MS24A,19980420,,,,,NA,,NA,400,[(Golden Glow X M. Amargo) S5 X Duncan] S2 X Golden Glow,40,NA,,:MS24A;USA126:Ames 24708,,10,NA,NA,,"DEVELOPED  1958 Michigan, United States by Michigan State University. DONATED  04/20/1998 Michigan, United States by Dysinger, K., Michigan State University",1958,2874,MS24A,Ames24708,Michigan,unclassified,1958,,PickettOP,0,0,INBRED,0,,NA,NA,NA,LongfellowFlint
