"","Year.Rel","released","Accession","Inbred.Line","Inbred.name","GBS.name..Sample.Flowcell.Lane.Well.","P1A","P2A","ancest","history","Pop.structure","remarks"
"2628",NA,"","PI 186187",NA,"INBRED 610","PI186187:81FENABXX:1:D8",NA,NA,"","DONATED  1978 Puerto Rico by USDA, ARS Tropical Agriculture Research Station",NA,"A native field corn was found to have some typical sweet corn characteristics. It was backcrossed, selfed and resel- lected for productivity, tender kernels, and other desire- able characteristics. Vigorous, tall gorwing 8-9 ft., highly resistant to Yellow Stripe mosaic disease, Helminthosporium leaf spot, & Stewart's disease.  Agri. in th Americas, Vol.6 No.4, April 1946. Resrch. Achievement sheet. 114(0) Nov.1948"
"2629",NA,"","PI 186188",NA,"INBRED 619","PI186188:81FENABXX:4:D9",NA,NA,"","DONATED  1978 Puerto Rico by USDA, ARS Tropical Agriculture Research Station",NA,"A native field corn was found to have some typical sweet corn characteristics. It was backcrossed, selfed and resel- lected for productivity, tender kernels, and other desire- able characteristics. Vigorous, tall gorwing 8-9 ft., highly resistant to Yellow Stripe mosaic disease, Helminthosporium leaf spot, & Stewart's disease.  Agri. in th Americas, Vol.6 No.4, April 1946. Resrch. Achievement sheet. 114(0) Nov.1948"
"2630",NA,"","PI 186190",NA,"INBRED 624","PI186190:81FE8ABXX:6:E1",NA,NA,"","DONATED  1978 Puerto Rico by USDA, ARS Tropical Agriculture Research Station",NA,"A native field corn was found to have some typical sweet corn characteristics. It was backcrossed, selfed and resel- lected for productivity, tender kernels, and other desire- able characteristics. Vigorous, tall gorwing 8-9 ft., highly resistant to Yellow Stripe mosaic disease, Helminthosporium leaf spot, & Stewart's disease.  Agri. in th Americas, Vol.6 No.4, April 1946. Resrch. Achievement sheet. 114(0) Nov.1948"
"2631",NA,"","PI 186191",NA,"INBRED 627","PI186191:D0D0BACXX:4:E5",NA,NA,"","DONATED  1978 Puerto Rico by USDA, ARS Tropical Agriculture Research Station",NA,"A native field corn was found to have some typical sweet corn characteristics. It was backcrossed, selfed and resel- lected for productivity, tender kernels, and other desire- able characteristics. Vigorous, tall gorwing 8-9 ft., highly resistant to Yellow Stripe mosaic disease, Helminthosporium leaf spot, & Stewart's disease.  Agri. in th Americas, Vol.6 No.4, April 1946. Resrch. Achievement sheet. 114(0) Nov.1948"
"2632",NA,"","PI 186192",NA,"INBRED 45","PI186192:81FENABXX:2:C1",NA,NA,"","DONATED  1978 Puerto Rico by USDA, ARS Tropical Agriculture Research Station",NA,"A native field corn was found to have some typical sweet corn characteristics. It was backcrossed, selfed and resel- lected for productivity, tender kernels, and other desire- able characteristics. Vigorous, tall gorwing 8-9 ft., highly resistant to Yellow Stripe mosaic disease, Helminthosporium leaf spot, & Stewart's disease.  Agri. in th Americas, Vol.6 No.4, April 1946. Resrch. Achievement sheet. 114(0) Nov.1948"
"2633",NA,"","PI 186193",NA,"INBRED A-243-1","PI186193:81N4HABXX:1:A6",NA,NA,"","DONATED  1978 Puerto Rico by USDA, ARS Tropical Agriculture Research Station",NA,"A native field corn was found to have some typical sweet corn characteristics. It was backcrossed, selfed and resel- lected for productivity, tender kernels, and other desire- able characteristics. Vigorous, tall gorwing 8-9 ft., highly resistant to Yellow Stripe mosaic disease, Helminthosporium leaf spot, & Stewart's disease.  Agri. in th Americas, Vol.6 No.4, April 1946. Resrch. Achievement sheet. 114(0) Nov.1948"
"2634",NA,"","PI 186195",NA,"INBRED 41","PI186195:81N4HABXX:3:E4",NA,NA,"","DONATED  1978 Puerto Rico by USDA, ARS Tropical Agriculture Research Station",NA,"A native field corn was found to have some typical sweet corn characteristics. It was backcrossed, selfed and resel- lected for productivity, tender kernels, and other desire- able characteristics. Vigorous, tall gorwing 8-9 ft., highly resistant to Yellow Stripe mosaic disease, Helminthosporium leaf spot, & Stewart's disease.  Agri. in th Americas, Vol.6 No.4, April 1946. Resrch. Achievement sheet. 114(0) Nov.1948"
"2635",NA,"","PI 186196",NA,"INBRED 109","PI186196:81FENABXX:1:D4",NA,NA,"","DONATED  1978 Puerto Rico by USDA, ARS Tropical Agriculture Research Station",NA,"A native field corn was found to have some typical sweet corn characteristics. It was backcrossed, selfed and resel- lected for productivity, tender kernels, and other desire- able characteristics. Vigorous, tall gorwing 8-9 ft., highly resistant to Yellow Stripe mosaic disease, Helminthosporium leaf spot, & Stewart's disease.  Agri. in th Americas, Vol.6 No.4, April 1946. Resrch. Achievement sheet. 114(0) Nov.1948"
"2636",NA,"","PI 186197",NA,"INBRED 100","PI186197:81N4HABXX:2:B12",NA,NA,"","DONATED  1978 Puerto Rico by USDA, ARS Tropical Agriculture Research Station",NA,"A native field corn was found to have some typical sweet corn characteristics. It was backcrossed, selfed and resel- lected for productivity, tender kernels, and other desire- able characteristics. Vigorous, tall gorwing 8-9 ft., highly resistant to Yellow Stripe mosaic disease, Helminthosporium leaf spot, & Stewart's disease.  Agri. in th Americas, Vol.6 No.4, April 1946. Resrch. Achievement sheet. 114(0) Nov.1948"
"2637",NA,"","PI 186198",NA,"INBRED 64","PI186198:81N4HABXX:2:B10",NA,NA,"","DONATED  1978 Puerto Rico by USDA, ARS Tropical Agriculture Research Station",NA,"A native field corn was found to have some typical sweet corn characteristics. It was backcrossed, selfed and resel- lected for productivity, tender kernels, and other desire- able characteristics. Vigorous, tall gorwing 8-9 ft., highly resistant to Yellow Stripe mosaic disease, Helminthosporium leaf spot, & Stewart's disease.  Agri. in th Americas, Vol.6 No.4, April 1946. Resrch. Achievement sheet. 114(0) Nov.1948"
"2638",NA,"","PI 186199",NA,"INBRED 141","PI186199:81FENABXX:2:F2",NA,NA,"","DONATED  1978 Puerto Rico by USDA, ARS Tropical Agriculture Research Station",NA,"A native field corn was found to have some typical sweet corn characteristics. It was backcrossed, selfed and resel- lected for productivity, tender kernels, and other desire- able characteristics. Vigorous, tall gorwing 8-9 ft., highly resistant to Yellow Stripe mosaic disease, Helminthosporium leaf spot, & Stewart's disease.  Agri. in th Americas, Vol.6 No.4, April 1946. Resrch. Achievement sheet. 114(0) Nov.1948"
"2639",NA,"","PI 186215",NA,"INBRED 2-687","PI186215:81FE7ABXX:4:A12",NA,NA,"","DONATED  1978 Puerto Rico by USDA, ARS Tropical Agriculture Research Station",NA,"A native field corn was found to have some typical sweet corn characteristics. It was backcrossed, selfed and resel- lected for productivity, tender kernels, and other desire- able characteristics. Vigorous, tall gorwing 8-9 ft., highly resistant to Yellow Stripe mosaic disease, Helminthosporium leaf spot, & Stewart's disease.  Agri. in th Americas, Vol.6 No.4, April 1946. Resrch. Achievement sheet. 114(0) Nov.1948"
"2640",NA,"","PI 186215",NA,"INBRED 2-687","PI186215:D0D0BACXX:3:B1",NA,NA,"","DONATED  1978 Puerto Rico by USDA, ARS Tropical Agriculture Research Station",NA,"A native field corn was found to have some typical sweet corn characteristics. It was backcrossed, selfed and resel- lected for productivity, tender kernels, and other desire- able characteristics. Vigorous, tall gorwing 8-9 ft., highly resistant to Yellow Stripe mosaic disease, Helminthosporium leaf spot, & Stewart's disease.  Agri. in th Americas, Vol.6 No.4, April 1946. Resrch. Achievement sheet. 114(0) Nov.1948"
"2641",NA,"","PI 186216",NA,"INBRED 1-1265","PI186216:81FE8ABXX:7:F2",NA,NA,"","DONATED  1978 Puerto Rico by USDA, ARS Tropical Agriculture Research Station",NA,"A native field corn was found to have some typical sweet corn characteristics. It was backcrossed, selfed and resel- lected for productivity, tender kernels, and other desire- able characteristics. Vigorous, tall gorwing 8-9 ft., highly resistant to Yellow Stripe mosaic disease, Helminthosporium leaf spot, & Stewart's disease.  Agri. in th Americas, Vol.6 No.4, April 1946. Resrch. Achievement sheet. 114(0) Nov.1948"
"2642",NA,"","PI 186217",NA,"INBRED 19-86","PI186217:81N4HABXX:7:F3",NA,NA,"","DONATED  1978 Puerto Rico by USDA, ARS Tropical Agriculture Research Station",NA,"A native field corn was found to have some typical sweet corn characteristics. It was backcrossed, selfed and resel- lected for productivity, tender kernels, and other desire- able characteristics. Vigorous, tall gorwing 8-9 ft., highly resistant to Yellow Stripe mosaic disease, Helminthosporium leaf spot, & Stewart's disease.  Agri. in th Americas, Vol.6 No.4, April 1946. Resrch. Achievement sheet. 114(0) Nov.1948"
"2643",NA,"","PI 186218",NA,"INBRED 34-1141","PI186218:81FENABXX:1:C5",NA,NA,"","DONATED  1978 Puerto Rico by USDA, ARS Tropical Agriculture Research Station",NA,"A native field corn was found to have some typical sweet corn characteristics. It was backcrossed, selfed and resel- lected for productivity, tender kernels, and other desire- able characteristics. Vigorous, tall gorwing 8-9 ft., highly resistant to Yellow Stripe mosaic disease, Helminthosporium leaf spot, & Stewart's disease.  Agri. in th Americas, Vol.6 No.4, April 1946. Resrch. Achievement sheet. 114(0) Nov.1948"
"2644",NA,"","PI 186219",NA,"INBRED 34-1181","PI186219:81FE8ABXX:7:B11",NA,NA,"","DONATED  1978 Puerto Rico by USDA, ARS Tropical Agriculture Research Station",NA,"A native field corn was found to have some typical sweet corn characteristics. It was backcrossed, selfed and resel- lected for productivity, tender kernels, and other desire- able characteristics. Vigorous, tall gorwing 8-9 ft., highly resistant to Yellow Stripe mosaic disease, Helminthosporium leaf spot, & Stewart's disease.  Agri. in th Americas, Vol.6 No.4, April 1946. Resrch. Achievement sheet. 114(0) Nov.1948"
"2645",NA,"","PI 186220",NA,"INBRED 34-1196","PI186220:81FENABXX:5:B10",NA,NA,"","DONATED  1978 Puerto Rico by USDA, ARS Tropical Agriculture Research Station",NA,"A native field corn was found to have some typical sweet corn characteristics. It was backcrossed, selfed and resel- lected for productivity, tender kernels, and other desire- able characteristics. Vigorous, tall gorwing 8-9 ft., highly resistant to Yellow Stripe mosaic disease, Helminthosporium leaf spot, & Stewart's disease.  Agri. in th Americas, Vol.6 No.4, April 1946. Resrch. Achievement sheet. 114(0) Nov.1948"
"2646",NA,"","PI 186221",NA,"INBRED 39-1084","PI186221:81FE7ABXX:4:H6",NA,NA,"","DONATED  1978 Puerto Rico by USDA, ARS Tropical Agriculture Research Station",NA,"A native field corn was found to have some typical sweet corn characteristics. It was backcrossed, selfed and resel- lected for productivity, tender kernels, and other desire- able characteristics. Vigorous, tall gorwing 8-9 ft., highly resistant to Yellow Stripe mosaic disease, Helminthosporium leaf spot, & Stewart's disease.  Agri. in th Americas, Vol.6 No.4, April 1946. Resrch. Achievement sheet. 114(0) Nov.1948"
"2647",NA,"","PI 186223",NA,"INBRED 41-1781","PI186223:81N4HABXX:2:E10",NA,NA,"","DONATED  1978 Puerto Rico by USDA, ARS Tropical Agriculture Research Station",NA,"A native field corn was found to have some typical sweet corn characteristics. It was backcrossed, selfed and resel- lected for productivity, tender kernels, and other desire- able characteristics. Vigorous, tall gorwing 8-9 ft., highly resistant to Yellow Stripe mosaic disease, Helminthosporium leaf spot, & Stewart's disease.  Agri. in th Americas, Vol.6 No.4, April 1946. Resrch. Achievement sheet. 114(0) Nov.1948"
"2648",NA,"","PI 186224",NA,"INBRED 42-492","PI186224:81FE7ABXX:5:B9",NA,NA,"","DONATED  1978 Puerto Rico by USDA, ARS Tropical Agriculture Research Station",NA,"A native field corn was found to have some typical sweet corn characteristics. It was backcrossed, selfed and resel- lected for productivity, tender kernels, and other desire- able characteristics. Vigorous, tall gorwing 8-9 ft., highly resistant to Yellow Stripe mosaic disease, Helminthosporium leaf spot, & Stewart's disease.  Agri. in th Americas, Vol.6 No.4, April 1946. Resrch. Achievement sheet. 114(0) Nov.1948"
"2649",NA,"","PI 186226",NA,"INBRED 305","PI186226:81FE7ABXX:4:C8",NA,NA,"","DONATED  1978 Puerto Rico by USDA, ARS Tropical Agriculture Research Station",NA,"A native field corn was found to have some typical sweet corn characteristics. It was backcrossed, selfed and resel- lected for productivity, tender kernels, and other desire- able characteristics. Vigorous, tall gorwing 8-9 ft., highly resistant to Yellow Stripe mosaic disease, Helminthosporium leaf spot, & Stewart's disease.  Agri. in th Americas, Vol.6 No.4, April 1946. Resrch. Achievement sheet. 114(0) Nov.1948"
"2650",NA,"","PI 186227",NA,"INBRED 309","PI186227:81FE8ABXX:1:D2",NA,NA,"","DONATED  1978 Puerto Rico by USDA, ARS Tropical Agriculture Research Station",NA,"A native field corn was found to have some typical sweet corn characteristics. It was backcrossed, selfed and resel- lected for productivity, tender kernels, and other desire- able characteristics. Vigorous, tall gorwing 8-9 ft., highly resistant to Yellow Stripe mosaic disease, Helminthosporium leaf spot, & Stewart's disease.  Agri. in th Americas, Vol.6 No.4, April 1946. Resrch. Achievement sheet. 114(0) Nov.1948"
"2651",NA,"","PI 186228",NA,"INBRED 317","PI186228:81N4HABXX:6:A9",NA,NA,"","DONATED  1978 Puerto Rico by USDA, ARS Tropical Agriculture Research Station",NA,"A native field corn was found to have some typical sweet corn characteristics. It was backcrossed, selfed and resel- lected for productivity, tender kernels, and other desire- able characteristics. Vigorous, tall gorwing 8-9 ft., highly resistant to Yellow Stripe mosaic disease, Helminthosporium leaf spot, & Stewart's disease.  Agri. in th Americas, Vol.6 No.4, April 1946. Resrch. Achievement sheet. 114(0) Nov.1948"
"2652",NA,"","PI 186229",NA,"INBRED 321","PI186229:81FE7ABXX:3:B9",NA,NA,"","DONATED  1978 Puerto Rico by USDA, ARS Tropical Agriculture Research Station",NA,"A native field corn was found to have some typical sweet corn characteristics. It was backcrossed, selfed and resel- lected for productivity, tender kernels, and other desire- able characteristics. Vigorous, tall gorwing 8-9 ft., highly resistant to Yellow Stripe mosaic disease, Helminthosporium leaf spot, & Stewart's disease.  Agri. in th Americas, Vol.6 No.4, April 1946. Resrch. Achievement sheet. 114(0) Nov.1948"
"2653",NA,"","PI 186230",NA,"INBRED 334","PI186230:81FE7ABXX:6:H1",NA,NA,"","DONATED  1978 Puerto Rico by USDA, ARS Tropical Agriculture Research Station",NA,"A native field corn was found to have some typical sweet corn characteristics. It was backcrossed, selfed and resel- lected for productivity, tender kernels, and other desire- able characteristics. Vigorous, tall gorwing 8-9 ft., highly resistant to Yellow Stripe mosaic disease, Helminthosporium leaf spot, & Stewart's disease.  Agri. in th Americas, Vol.6 No.4, April 1946. Resrch. Achievement sheet. 114(0) Nov.1948"
"2654",NA,"","PI 186231",NA,"INBRED 358","PI186231:81FE7ABXX:1:F4",NA,NA,"","DONATED  1978 Puerto Rico by USDA, ARS Tropical Agriculture Research Station",NA,"A native field corn was found to have some typical sweet corn characteristics. It was backcrossed, selfed and resel- lected for productivity, tender kernels, and other desire- able characteristics. Vigorous, tall gorwing 8-9 ft., highly resistant to Yellow Stripe mosaic disease, Helminthosporium leaf spot, & Stewart's disease.  Agri. in th Americas, Vol.6 No.4, April 1946. Resrch. Achievement sheet. 114(0) Nov.1948"
"2655",NA,"","PI 198888",NA,"4F-35 BK","PI198888:81FE8ABXX:7:F6",NA,NA,"","DONATED  1978 Puerto Rico by USDA, ARS Tropical Agriculture Research Station",NA,"A native field corn was found to have some typical sweet corn characteristics. It was backcrossed, selfed and resel- lected for productivity, tender kernels, and other desire- able characteristics. Vigorous, tall gorwing 8-9 ft., highly resistant to Yellow Stripe mosaic disease, Helminthosporium leaf spot, & Stewart's disease.  Agri. in th Americas, Vol.6 No.4, April 1946. Resrch. Achievement sheet. 114(0) Nov.1948"
"2656",NA,"","PI 198889",NA,"4F-182 BS 11","PI198889:81FENABXX:4:E8",NA,NA,"","DONATED  1978 Puerto Rico by USDA, ARS Tropical Agriculture Research Station",NA,"A native field corn was found to have some typical sweet corn characteristics. It was backcrossed, selfed and resel- lected for productivity, tender kernels, and other desire- able characteristics. Vigorous, tall gorwing 8-9 ft., highly resistant to Yellow Stripe mosaic disease, Helminthosporium leaf spot, & Stewart's disease.  Agri. in th Americas, Vol.6 No.4, April 1946. Resrch. Achievement sheet. 114(0) Nov.1948"
"2657",NA,"","PI 198890",NA,"4F-203 AM 6","PI198890:81FENABXX:5:F1",NA,NA,"","DONATED  1978 Puerto Rico by USDA, ARS Tropical Agriculture Research Station",NA,"A native field corn was found to have some typical sweet corn characteristics. It was backcrossed, selfed and resel- lected for productivity, tender kernels, and other desire- able characteristics. Vigorous, tall gorwing 8-9 ft., highly resistant to Yellow Stripe mosaic disease, Helminthosporium leaf spot, & Stewart's disease.  Agri. in th Americas, Vol.6 No.4, April 1946. Resrch. Achievement sheet. 114(0) Nov.1948"
"2658",NA,"","PI 198892",NA,"4F-234 BX 4","PI198892:81FE7ABXX:1:E10",NA,NA,"","DONATED  1978 Puerto Rico by USDA, ARS Tropical Agriculture Research Station",NA,"A native field corn was found to have some typical sweet corn characteristics. It was backcrossed, selfed and resel- lected for productivity, tender kernels, and other desire- able characteristics. Vigorous, tall gorwing 8-9 ft., highly resistant to Yellow Stripe mosaic disease, Helminthosporium leaf spot, & Stewart's disease.  Agri. in th Americas, Vol.6 No.4, April 1946. Resrch. Achievement sheet. 114(0) Nov.1948"
"2659",NA,"","PI 198893",NA,"4F-240 BX 16","PI198893:81N4HABXX:6:B4",NA,NA,"","DONATED  1978 Puerto Rico by USDA, ARS Tropical Agriculture Research Station",NA,"A native field corn was found to have some typical sweet corn characteristics. It was backcrossed, selfed and resel- lected for productivity, tender kernels, and other desire- able characteristics. Vigorous, tall gorwing 8-9 ft., highly resistant to Yellow Stripe mosaic disease, Helminthosporium leaf spot, & Stewart's disease.  Agri. in th Americas, Vol.6 No.4, April 1946. Resrch. Achievement sheet. 114(0) Nov.1948"
"2660",NA,"","PI 198894",NA,"4F-259 HQ","PI198894:81FE8ABXX:5:H7",NA,NA,"","DONATED  1978 Puerto Rico by USDA, ARS Tropical Agriculture Research Station",NA,"A native field corn was found to have some typical sweet corn characteristics. It was backcrossed, selfed and resel- lected for productivity, tender kernels, and other desire- able characteristics. Vigorous, tall gorwing 8-9 ft., highly resistant to Yellow Stripe mosaic disease, Helminthosporium leaf spot, & Stewart's disease.  Agri. in th Americas, Vol.6 No.4, April 1946. Resrch. Achievement sheet. 114(0) Nov.1948"
"2661",NA,"","PI 198895",NA,"4F-285 TX 15","PI198895:81FE8ABXX:1:A1",NA,NA,"","DONATED  1978 Puerto Rico by USDA, ARS Tropical Agriculture Research Station",NA,"A native field corn was found to have some typical sweet corn characteristics. It was backcrossed, selfed and resel- lected for productivity, tender kernels, and other desire- able characteristics. Vigorous, tall gorwing 8-9 ft., highly resistant to Yellow Stripe mosaic disease, Helminthosporium leaf spot, & Stewart's disease.  Agri. in th Americas, Vol.6 No.4, April 1946. Resrch. Achievement sheet. 114(0) Nov.1948"
"2662",NA,"","PI 198896",NA,"4F-300 AD 3","PI198896:81FENABXX:5:B3",NA,NA,"","DONATED  1978 Puerto Rico by USDA, ARS Tropical Agriculture Research Station",NA,"A native field corn was found to have some typical sweet corn characteristics. It was backcrossed, selfed and resel- lected for productivity, tender kernels, and other desire- able characteristics. Vigorous, tall gorwing 8-9 ft., highly resistant to Yellow Stripe mosaic disease, Helminthosporium leaf spot, & Stewart's disease.  Agri. in th Americas, Vol.6 No.4, April 1946. Resrch. Achievement sheet. 114(0) Nov.1948"
"2663",NA,"","PI 198897",NA,"4F-306 108","PI198897:81FENABXX:1:C12",NA,NA,"","DONATED  1978 Puerto Rico by USDA, ARS Tropical Agriculture Research Station",NA,"A native field corn was found to have some typical sweet corn characteristics. It was backcrossed, selfed and resel- lected for productivity, tender kernels, and other desire- able characteristics. Vigorous, tall gorwing 8-9 ft., highly resistant to Yellow Stripe mosaic disease, Helminthosporium leaf spot, & Stewart's disease.  Agri. in th Americas, Vol.6 No.4, April 1946. Resrch. Achievement sheet. 114(0) Nov.1948"
"2664",NA,"","PI 198901",NA,"4F-342 CM 4","PI198901:81FENABXX:5:B6",NA,NA,"","DONATED  1978 Puerto Rico by USDA, ARS Tropical Agriculture Research Station",NA,"A native field corn was found to have some typical sweet corn characteristics. It was backcrossed, selfed and resel- lected for productivity, tender kernels, and other desire- able characteristics. Vigorous, tall gorwing 8-9 ft., highly resistant to Yellow Stripe mosaic disease, Helminthosporium leaf spot, & Stewart's disease.  Agri. in th Americas, Vol.6 No.4, April 1946. Resrch. Achievement sheet. 114(0) Nov.1948"
"2665",NA,"","PI 198901",NA,"4F-342 CM 4","PI198901:C07W2ACXX:1:F5",NA,NA,"","DONATED  1978 Puerto Rico by USDA, ARS Tropical Agriculture Research Station",NA,"A native field corn was found to have some typical sweet corn characteristics. It was backcrossed, selfed and resel- lected for productivity, tender kernels, and other desire- able characteristics. Vigorous, tall gorwing 8-9 ft., highly resistant to Yellow Stripe mosaic disease, Helminthosporium leaf spot, & Stewart's disease.  Agri. in th Americas, Vol.6 No.4, April 1946. Resrch. Achievement sheet. 114(0) Nov.1948"
"2666",NA,"","PI 198901",NA,"4F-342 CM 4","PI198901:C07W2ACXX:2:F5",NA,NA,"","DONATED  1978 Puerto Rico by USDA, ARS Tropical Agriculture Research Station",NA,"A native field corn was found to have some typical sweet corn characteristics. It was backcrossed, selfed and resel- lected for productivity, tender kernels, and other desire- able characteristics. Vigorous, tall gorwing 8-9 ft., highly resistant to Yellow Stripe mosaic disease, Helminthosporium leaf spot, & Stewart's disease.  Agri. in th Americas, Vol.6 No.4, April 1946. Resrch. Achievement sheet. 114(0) Nov.1948"
"2667",NA,"","PI 198901",NA,"4F-342 CM 4","PI198901:D0D0BACXX:1:F5",NA,NA,"","DONATED  1978 Puerto Rico by USDA, ARS Tropical Agriculture Research Station",NA,"A native field corn was found to have some typical sweet corn characteristics. It was backcrossed, selfed and resel- lected for productivity, tender kernels, and other desire- able characteristics. Vigorous, tall gorwing 8-9 ft., highly resistant to Yellow Stripe mosaic disease, Helminthosporium leaf spot, & Stewart's disease.  Agri. in th Americas, Vol.6 No.4, April 1946. Resrch. Achievement sheet. 114(0) Nov.1948"
"2668",NA,"","PI 198901",NA,"4F-342 CM 4","PI198901:D0D7RACXX:1:F5",NA,NA,"","DONATED  1978 Puerto Rico by USDA, ARS Tropical Agriculture Research Station",NA,"A native field corn was found to have some typical sweet corn characteristics. It was backcrossed, selfed and resel- lected for productivity, tender kernels, and other desire- able characteristics. Vigorous, tall gorwing 8-9 ft., highly resistant to Yellow Stripe mosaic disease, Helminthosporium leaf spot, & Stewart's disease.  Agri. in th Americas, Vol.6 No.4, April 1946. Resrch. Achievement sheet. 114(0) Nov.1948"
"2669",NA,"","PI 198901",NA,"4F-342 CM 4","PI198901:D0D7RACXX:2:F5",NA,NA,"","DONATED  1978 Puerto Rico by USDA, ARS Tropical Agriculture Research Station",NA,"A native field corn was found to have some typical sweet corn characteristics. It was backcrossed, selfed and resel- lected for productivity, tender kernels, and other desire- able characteristics. Vigorous, tall gorwing 8-9 ft., highly resistant to Yellow Stripe mosaic disease, Helminthosporium leaf spot, & Stewart's disease.  Agri. in th Americas, Vol.6 No.4, April 1946. Resrch. Achievement sheet. 114(0) Nov.1948"
"2670",NA,"","PI 198902",NA,"4F-345 CN 12","PI198902:81FENABXX:5:F4",NA,NA,"","DONATED  1978 Puerto Rico by USDA, ARS Tropical Agriculture Research Station",NA,"A native field corn was found to have some typical sweet corn characteristics. It was backcrossed, selfed and resel- lected for productivity, tender kernels, and other desire- able characteristics. Vigorous, tall gorwing 8-9 ft., highly resistant to Yellow Stripe mosaic disease, Helminthosporium leaf spot, & Stewart's disease.  Agri. in th Americas, Vol.6 No.4, April 1946. Resrch. Achievement sheet. 114(0) Nov.1948"
"2671",NA,"","PI 198903",NA,"4F-350 CN 2","PI198903:D0D0BACXX:4:G5",NA,NA,"","DONATED  1978 Puerto Rico by USDA, ARS Tropical Agriculture Research Station",NA,"A native field corn was found to have some typical sweet corn characteristics. It was backcrossed, selfed and resel- lected for productivity, tender kernels, and other desire- able characteristics. Vigorous, tall gorwing 8-9 ft., highly resistant to Yellow Stripe mosaic disease, Helminthosporium leaf spot, & Stewart's disease.  Agri. in th Americas, Vol.6 No.4, April 1946. Resrch. Achievement sheet. 114(0) Nov.1948"
"2672",NA,"","PI 198904",NA,"4F-353 CN 33","PI198904:81FENABXX:4:F1",NA,NA,"","DONATED  1978 Puerto Rico by USDA, ARS Tropical Agriculture Research Station",NA,"A native field corn was found to have some typical sweet corn characteristics. It was backcrossed, selfed and resel- lected for productivity, tender kernels, and other desire- able characteristics. Vigorous, tall gorwing 8-9 ft., highly resistant to Yellow Stripe mosaic disease, Helminthosporium leaf spot, & Stewart's disease.  Agri. in th Americas, Vol.6 No.4, April 1946. Resrch. Achievement sheet. 114(0) Nov.1948"
"2673",NA,"","PI 198905",NA,"4F-374 GE 3","PI198905:81FENABXX:3:D11",NA,NA,"","DONATED  1978 Puerto Rico by USDA, ARS Tropical Agriculture Research Station",NA,"A native field corn was found to have some typical sweet corn characteristics. It was backcrossed, selfed and resel- lected for productivity, tender kernels, and other desire- able characteristics. Vigorous, tall gorwing 8-9 ft., highly resistant to Yellow Stripe mosaic disease, Helminthosporium leaf spot, & Stewart's disease.  Agri. in th Americas, Vol.6 No.4, April 1946. Resrch. Achievement sheet. 114(0) Nov.1948"
"2674",NA,"","PI 198906",NA,"4F-403 JV 15","PI198906:81FE8ABXX:7:H1",NA,NA,"","DONATED  1978 Puerto Rico by USDA, ARS Tropical Agriculture Research Station",NA,"A native field corn was found to have some typical sweet corn characteristics. It was backcrossed, selfed and resel- lected for productivity, tender kernels, and other desire- able characteristics. Vigorous, tall gorwing 8-9 ft., highly resistant to Yellow Stripe mosaic disease, Helminthosporium leaf spot, & Stewart's disease.  Agri. in th Americas, Vol.6 No.4, April 1946. Resrch. Achievement sheet. 114(0) Nov.1948"
"2675",NA,"","PI 200179",NA,"NY 3 (Neveh Yaar)","PI200179:81N4HABXX:7:C12",NA,NA,"","DONATED  1978 Puerto Rico by USDA, ARS Tropical Agriculture Research Station",NA,"A native field corn was found to have some typical sweet corn characteristics. It was backcrossed, selfed and resel- lected for productivity, tender kernels, and other desire- able characteristics. Vigorous, tall gorwing 8-9 ft., highly resistant to Yellow Stripe mosaic disease, Helminthosporium leaf spot, & Stewart's disease.  Agri. in th Americas, Vol.6 No.4, April 1946. Resrch. Achievement sheet. 114(0) Nov.1948"
"2676",NA,"","PI 200180",NA,"NY 51 (Neveh Yaar)","PI200180:81FE8ABXX:1:H9",NA,NA,"","DONATED  1978 Puerto Rico by USDA, ARS Tropical Agriculture Research Station",NA,"A native field corn was found to have some typical sweet corn characteristics. It was backcrossed, selfed and resel- lected for productivity, tender kernels, and other desire- able characteristics. Vigorous, tall gorwing 8-9 ft., highly resistant to Yellow Stripe mosaic disease, Helminthosporium leaf spot, & Stewart's disease.  Agri. in th Americas, Vol.6 No.4, April 1946. Resrch. Achievement sheet. 114(0) Nov.1948"
"2677",NA,"","PI 200181",NA,"NY 65 (Neveh Yaar)","PI200181:81FENABXX:2:F7",NA,NA,"","DONATED  1978 Puerto Rico by USDA, ARS Tropical Agriculture Research Station",NA,"A native field corn was found to have some typical sweet corn characteristics. It was backcrossed, selfed and resel- lected for productivity, tender kernels, and other desire- able characteristics. Vigorous, tall gorwing 8-9 ft., highly resistant to Yellow Stripe mosaic disease, Helminthosporium leaf spot, & Stewart's disease.  Agri. in th Americas, Vol.6 No.4, April 1946. Resrch. Achievement sheet. 114(0) Nov.1948"
"2678",NA,"","PI 200182",NA,"NY 159 (Neveh Yaar)","PI200182:81FENABXX:2:H2",NA,NA,"","DONATED  1978 Puerto Rico by USDA, ARS Tropical Agriculture Research Station",NA,"A native field corn was found to have some typical sweet corn characteristics. It was backcrossed, selfed and resel- lected for productivity, tender kernels, and other desire- able characteristics. Vigorous, tall gorwing 8-9 ft., highly resistant to Yellow Stripe mosaic disease, Helminthosporium leaf spot, & Stewart's disease.  Agri. in th Americas, Vol.6 No.4, April 1946. Resrch. Achievement sheet. 114(0) Nov.1948"
