GBS name (Sample:Flowcell:Lane:Well),Additional file 1.xlsx (Romay et al. 2013),Inbred name,Source,Accession,Seed lot,Notes
Ames27043:81FE8ABXX:3:H7,CO192,CO192,NCRPIS,Ames 27043,04ncai02 SD,
Ames27043:D0D0BACXX:3:B1,CO192,CO192,NCRPIS,Ames 27043,10004,
Ames27044:81FE8ABXX:4:G1,CO216,CO216,NCRPIS,Ames 27044,07ncai01 SD,
Ames27045:81FENABXX:6:H10,CO220,CO220,NCRPIS,Ames 27045,04ncai01 SD,
Ames27046:81FENABXX:6:A5,CO236,CO236,NCRPIS,Ames 27046,04ncai02 SD,
Ames27046:D0D0BACXX:3:E1,CO236,CO236,NCRPIS,Ames 27046,10031,
Ames27047:81FENABXX:6:D6,CO237,CO237,NCRPIS,Ames 27047,04ncai01 SD,
Ames27048:81FE8ABXX:4:G2,CO245,CO245,NCRPIS,Ames 27048,04ncai01 SD,
Ames27049:81FENABXX:6:B12,CO252,CO252,NCRPIS,Ames 27049,07ncai01 SD,
Ames27050:81FENABXX:6:B9,not included,CO255,NCRPIS,Ames 27050,04ncai01 SD,
Ames27051:81FE8ABXX:4:D3,CO256,CO256,NCRPIS,Ames 27051,04ncai01 SD,
Ames27052:81FENABXX:6:C8,CO257,CO257,NCRPIS,Ames 27052,04ncab01 SD,
Ames27053:81FE8ABXX:4:F4,CO258,CO258,NCRPIS,Ames 27053,04ncab01 SD,
Ames27056:81N4HABXX:4:D9,CSJ2,CSJ2,NCRPIS,Ames 27056,07ncai01 SD,
Ames27057:81FE8ABXX:6:H10,CSJ3,CSJ3,NCRPIS,Ames 27057,05ncai01 SD,
Ames27057:C07W2ACXX:1:A3,CSJ3,CSJ3,NCRPIS,Ames 27057,05ncai01 SD,
Ames27057:C07W2ACXX:2:A3,CSJ3,CSJ3,NCRPIS,Ames 27057,05ncai01 SD,
Ames27057:D0D0BACXX:1:A3,CSJ3,CSJ3,NCRPIS,Ames 27057,05ncai01 SD,
Ames27057:D0D7RACXX:1:A3,CSJ3,CSJ3,NCRPIS,Ames 27057,05ncai01 SD,
Ames27057:D0D7RACXX:2:A3,CSJ3,CSJ3,NCRPIS,Ames 27057,05ncai01 SD,
Ames27062:81N4HABXX:1:F6,A6,A6,NCRPIS,Ames 27062,04ncai01 SD,
Ames27064:81FE8ABXX:7:E1,A441-5,A441-5,NCRPIS,Ames 27064,04ncai01 SD,
Ames27065:81FE7ABXX:5:G11,B73Htrhm,B73Htrhm,NCRPIS,Ames 27065,03ncai01 SD,
Ames27066:81FE8ABXX:7:G8,B164,B164,NCRPIS,Ames 27066,03ncai01 SD,
Ames27067:81FENABXX:7:F5,C49A,C49A,NCRPIS,Ames 27067,04ncai01 SD,
Ames27068:81FENABXX:3:A2,CH9,CH9,NCRPIS,Ames 27068,03ncai01 SD,
Ames27069:81FE8ABXX:5:C1,CH701-30,CH701-30,NCRPIS,Ames 27069,03ncai01 SD,
Ames27070:81FE8ABXX:4:H5,CM7,CM7,NCRPIS,Ames 27070,04ncai01 SD,
Ames27071:81FE8ABXX:3:B6,CML5,CML5,NCRPIS,Ames 27071,07ncei01 SD,
Ames27072:81FE8ABXX:3:A4,CML10,CML10,NCRPIS,Ames 27072,04ncai01 SD,
Ames27072:81N4HABXX:5:E5,CML10,CML10,NCRPIS,Ames 27072,05ncei01 SD,
Ames27074:81N4HABXX:5:C3,CML14,CML14,NCRPIS,Ames 27074,09ncai01 SD,
Ames27074:D0D0BACXX:4:B2,CML14,CML 14,NCRPIS,Ames 27074,13199,
Ames27075:81FE8ABXX:2:A2,CML16,CML16,NCRPIS,Ames 27075,05ncei01 SD,
Ames27076:81N4HABXX:4:D7,CML45,CML45,NCRPIS,Ames 27076,05ncei01 SD,
Ames27077:81FE8ABXX:2:A10,CML56,CML56,NCRPIS,Ames 27077,05ncei01 SD,
Ames27078:81N4HABXX:4:E10,CML61,CML61,NCRPIS,Ames 27078,09ncei01 SD,
Ames27079:81N4HABXX:4:A7,CML91,CML91,NCRPIS,Ames 27079,04ncai01 SD,
Ames27079:81N4HABXX:4:F5,CML91,CML91,NCRPIS,Ames 27079,05ncei01 SD,
Ames27080:81FE8ABXX:2:C5,CML92,CML92,NCRPIS,Ames 27080,04ncai01 SD,
Ames27080:81FE8ABXX:3:D3,CML92,CML92,NCRPIS,Ames 27080,05ncei01 SD,
Ames27081:81N4HABXX:5:F8,CML103,CML103,NCRPIS,Ames 27081,05ncei01 SD,
Ames27082:81FE8ABXX:2:C1,CML108,CML108,NCRPIS,Ames 27082,05ncei01 SD,
Ames27082:81N4HABXX:4:G9,CML108,CML108,NCRPIS,Ames 27082,04ncai01 SD,
Ames27083:81FE8ABXX:2:A3,CML154Q,CML154Q,NCRPIS,Ames 27083,05ncei01 SD,
Ames27083:81FE8ABXX:2:C12,CML154Q,CML154Q,NCRPIS,Ames 27083,04ncai01 SD,
Ames27084:81FE8ABXX:2:B2,CML157Q,CML157Q,NCRPIS,Ames 27084,05ncei01 SD,
Ames27084:81N4HABXX:4:F10,CML157Q,CML157Q,NCRPIS,Ames 27084,04ncai01 SD,
Ames27085:81FE8ABXX:3:A3,CML158Q,CML158Q,NCRPIS,Ames 27085,05ncei01 SD,
Ames27086:81FE8ABXX:2:A11,CML218,CML218,NCRPIS,Ames 27086,05ncei01 SD,
Ames27086:81FE8ABXX:3:G6,CML218,CML218,NCRPIS,Ames 27086,04ncai01 SD,
Ames27087:81N4HABXX:5:H4,CML220,CML220,NCRPIS,Ames 27087,04ncai01 SD,
Ames27087:D0D0BACXX:3:G4,CML220,CML 220,NCRPIS,Ames 27087,11587,
Ames27088:81FE8ABXX:3:B2,CML228,CML228,NCRPIS,Ames 27088,05ncei01 SD,
Ames27088:81N4HABXX:4:E4,CML228,CML228,NCRPIS,Ames 27088,04ncai01 SD,
Ames27089:81N4HABXX:4:C6,CML238,CML238,NCRPIS,Ames 27089,05ncei01 SD,
Ames27089:81N4HABXX:4:G12,CML238,CML238,NCRPIS,Ames 27089,04ncai01 SD,
Ames27090:81FE8ABXX:2:C11,CML258,CML258,NCRPIS,Ames 27090,07ncei01 SD,
Ames27091:81FE8ABXX:2:B1,CML261,CML261,NCRPIS,Ames 27091,05ncei01 SD,
Ames27091:81FE8ABXX:2:C10,CML261,CML261,NCRPIS,Ames 27091,08ncei01 SD,
Ames27093:81FE8ABXX:2:B10,CML311,CML311,NCRPIS,Ames 27093,05ncei01 SD,
Ames27093:81FE8ABXX:2:F6,CML311,CML311,NCRPIS,Ames 27093,04ncai01 SD,
Ames27094:81FE8ABXX:2:E1,CML314,CML314,NCRPIS,Ames 27094,05ncei01 SD,
Ames27094:81N4HABXX:5:C5,CML314,CML314,NCRPIS,Ames 27094,04ncai01 SD,
Ames27094:D0D0BACXX:4:B6,CML314,CML 314,NCRPIS,Ames 27094,12777,
Ames27094:D0D0BACXX:4:D6,CML314,CML 314,NCRPIS,Ames 27094,12831,
Ames27095:81FE8ABXX:2:G10,CML321,CML321,NCRPIS,Ames 27095,04ncai01 SD,
Ames27095:81N4HABXX:4:B9,CML321,CML321,NCRPIS,Ames 27095,05ncei01 SD,
Ames27096:81N4HABXX:4:C10,CML322,CML322,NCRPIS,Ames 27096,05ncei01 SD,
Ames27096:81N4HABXX:5:F6,CML322,CML322,NCRPIS,Ames 27096,04ncai01 SD,
Ames27097:81FE8ABXX:2:D5,CML323,CML323,NCRPIS,Ames 27097,05ncei01 SD,
Ames27097:81N4HABXX:4:E5,CML323,CML323,NCRPIS,Ames 27097,04ncai01 SD,
Ames27098:81FE8ABXX:2:A5,CML328,CML328,NCRPIS,Ames 27098,06ncai01 SD,
Ames27099:81N4HABXX:4:D6,CML331,CML331,NCRPIS,Ames 27099,05ncei01 SD,
Ames27100:81FE8ABXX:2:B6,CML332,CML332,NCRPIS,Ames 27100,05ncei01 SD,
Ames27101:81N4HABXX:4:C12,CML333,CML333,NCRPIS,Ames 27101,04ncai01 SD,
Ames27101:81N4HABXX:4:G6,CML333,CML333,NCRPIS,Ames 27101,05ncei01 SD,
Ames27102:81FE8ABXX:3:C3,CML341,CML341,NCRPIS,Ames 27102,05ncei01 SD,
Ames27102:D0D0BACXX:4:B10,CML341,CML 341,NCRPIS,Ames 27102,12695,
Ames27104:81FE8ABXX:3:B10,CMV3,CMV3,NCRPIS,Ames 27104,07ncai01 SD,
Ames27105:81FE8ABXX:4:C8,CO106,CO106,NCRPIS,Ames 27105,07ncai01 SD,
Ames27106:81FENABXX:6:C4,CO125,CO125,NCRPIS,Ames 27106,04ncai01 SD,
Ames27107:81FE8ABXX:4:H4,CO255,CO255,NCRPIS,Ames 27107,03ncai01 SD,
Ames27108:81N4HABXX:7:B1,D940Y,D940Y,NCRPIS,Ames 27108,07ncei01 SD,
Ames27109:81FE7ABXX:1:G1,DelawareExperimentalInbred,Delaware Experimental Inbred,NCRPIS,Ames 27109,04ncai01 SD,
Ames27110:81FE8ABXX:7:F5,E2558W,E2558W,NCRPIS,Ames 27110,04ncai01 SD,
Ames27111:81N4HABXX:5:H9,EP1,EP1,NCRPIS,Ames 27111,07ncai01 SD,
Ames27112:81N4HABXX:2:B11,F2834T,F2834T,NCRPIS,Ames 27112,07ncai01 SD,
Ames27113:81FE7ABXX:6:C12,GT112,GT112,NCRPIS,Ames 27113,06ncei01 SD,
Ames27113:81N4HABXX:4:D3,GT112,GT112,NCRPIS,Ames 27113,06ncai01 SD,
Ames27114:81FE7ABXX:5:C9,H91,H91,NCRPIS,Ames 27114,03ncai01 SD,
Ames27115:81N4HABXX:5:E10,I29,I29,NCRPIS,Ames 27115,03ncai01 SD,
Ames27116:81N4HABXX:1:H5,I137TN,I137TN,NCRPIS,Ames 27116,07ncai01 SD,
Ames27117:81FE8ABXX:7:E7,Ia5125B,Ia5125B,NCRPIS,Ames 27117,03ncai01 SD,
Ames27118:81N4HABXX:4:H1,Il14H,Il14H,NCRPIS,Ames 27118,08ncai01 SD,
Ames27118:D0D0BACXX:3:C2,Il14H,Il14H,NCRPIS,Ames 27118,10078,
Ames27119:81FENABXX:3:C4,Il101T,Il 101T,NCRPIS,Ames 27119,04ncai01 SD,
Ames27120:81FE7ABXX:7:C9,Il677a,Il677a,NCRPIS,Ames 27120,07ncai01 SD,
Ames27121:81FE7ABXX:2:F9,K64,K64,NCRPIS,Ames 27121,03ncai01 SD,
Ames27122:81FE8ABXX:7:A2,K148,K148,NCRPIS,Ames 27122,04ncai01 SD,
Ames27123:81FE8ABXX:1:A12,Ki3,Ki3,NCRPIS,Ames 27123,07ncei01 SD,
Ames27123:D0D0BACXX:4:F11,Ki3,Ki3,NCRPIS,Ames 27123,12983,
Ames27123:D0D0BACXX:4:G8,Ki3,Ki3,NCRPIS,Ames 27123,12930,
Ames27124:81FE7ABXX:6:H12,Ki11,Ki11,NCRPIS,Ames 27124,09ncai01 SD,
Ames27124:D0D0BACXX:4:F1,Ki11,Ki11,NCRPIS,Ames 27124,12759,
Ames27125:81N4HABXX:2:F12,Ki21,Ki21,NCRPIS,Ames 27125,05ncei01 SD,
Ames27125:81N4HABXX:4:F1,Ki21,Ki21,NCRPIS,Ames 27125,04ncai01 SD,
Ames27126:81FE8ABXX:2:A12,Ki43,Ki43,NCRPIS,Ames 27126,04ncai01 SD,
Ames27126:D0D0BACXX:4:D6,Ki43,Ki43,NCRPIS,Ames 27126,12393,
Ames27128:81FE8ABXX:2:D7,KUI2007,KUI2007,NCRPIS,Ames 27128,05ncei01 SD,
Ames27129:81FE8ABXX:1:C12,KUI2021,KUI2021,NCRPIS,Ames 27129,05ncei01 SD,
Ames27130:81FE8ABXX:2:D10,Ky21,Ky21,NCRPIS,Ames 27130,04ncai01 SD,
Ames27131:81FE8ABXX:7:D10,Ky226,Ky226,NCRPIS,Ames 27131,04ncai01 SD,
Ames27132:81N4HABXX:4:B3,L578,L578,NCRPIS,Ames 27132,04ncai01 SD,
Ames27133:81FE8ABXX:7:F10,M37W,M37W,NCRPIS,Ames 27133,06ncai01 SD,
Ames27133:D0D0BACXX:3:D10,M37W,M37W,NCRPIS,Ames 27133,11944,
Ames27134:81FE8ABXX:7:D7,M162W,M162W,NCRPIS,Ames 27134,07ncei01 SD,
Ames27135:81FE7ABXX:5:B2,MEF156-55-2,MEF156-55-2,NCRPIS,Ames 27135,09ncai01 SD,
Ames27135:81N4HABXX:7:A9,MEF156-55-2,MEF156-55-2,NCRPIS,Ames 27135,09ncai02 SD,
Ames27135:D0D0BACXX:4:D3,MEF156-55-2,MEF156-55-2,NCRPIS,Ames 27135,10197,
Ames27135:D0D0BACXX:4:E3,MEF156-55-2,MEF156-55-2,NCRPIS,Ames 27135,10239,
Ames27136:81N4HABXX:2:D2,MoG,Mo.G,NCRPIS,Ames 27136,03ncai01 SD,
Ames27137:81N4HABXX:7:B12,N6,N6,NCRPIS,Ames 27137,03ncai01 SD,
Ames27138:81FE7ABXX:5:B10,N28Ht,N28Ht,NCRPIS,Ames 27138,03ncai01 SD,
Ames27139:81FE8ABXX:7:E11,NC33,NC33,NCRPIS,Ames 27139,06ncai01 SD,
Ames27140:81FENABXX:4:B3,NC260,NC260,NCRPIS,Ames 27140,06ncai01 SD,
Ames27141:81FE7ABXX:3:H11,NC290A,NC290A,NCRPIS,Ames 27141,04ncai01 SD,
Ames27142:81FENABXX:1:A12,NC292,NC292,NCRPIS,Ames 27142,06ncei01 SD,
Ames27142:81N4HABXX:7:B5,NC292,NC292,NCRPIS,Ames 27142,04ncai01 SD,
Ames27143:81FE7ABXX:5:F12,NC294,NC294,NCRPIS,Ames 27143,04ncai01 SD,
Ames27143:81N4HABXX:7:C11,NC294,NC294,NCRPIS,Ames 27143,04ncei01 SD,
Ames27144:81FE8ABXX:7:C2,NC296,NC296,NCRPIS,Ames 27144,06ncei01 SD,
Ames27144:81FE8ABXX:7:D6,NC296,NC296,NCRPIS,Ames 27144,07ncai02 SD,
Ames27144:81N4HABXX:1:E8,NC296,NC296,NCRPIS,Ames 27144,07ncai01 SD,
Ames27144:81N4HABXX:1:G5,NC296,NC296,NCRPIS,Ames 27144,06ncei03 SD,
Ames27145:81N4HABXX:1:H4,NC296A,NC296A,NCRPIS,Ames 27145,04ncai01 SD,
Ames27146:81FE7ABXX:7:H6,NC300,NC300,NCRPIS,Ames 27146,04ncai01 SD,
Ames27146:81N4HABXX:2:F5,NC300,NC300,NCRPIS,Ames 27146,06ncei01 SD,
Ames27147:81N4HABXX:2:C9,NC302,NC302,NCRPIS,Ames 27147,04ncai01 SD,
Ames27148:81N4HABXX:3:D9,NC304,NC304,NCRPIS,Ames 27148,07ncai01 SD,
Ames27149:81FE7ABXX:2:G7,NC306,NC306,NCRPIS,Ames 27149,06ncei01 SD,
Ames27149:81FENABXX:4:A2,NC306,NC306,NCRPIS,Ames 27149,04ncai01 SD,
Ames27150:81FE7ABXX:2:B12,NC308,NC308,NCRPIS,Ames 27150,04ncai01 SD,
Ames27151:81FENABXX:4:A11,NC310,NC310,NCRPIS,Ames 27151,06ncei01 SD,
Ames27151:81FENABXX:4:E1,NC310,NC310,NCRPIS,Ames 27151,04ncai01 SD,
Ames27152:81FE8ABXX:7:D1,NC312,NC312,NCRPIS,Ames 27152,06ncei01 SD,
Ames27152:81N4HABXX:1:H6,NC312,NC312,NCRPIS,Ames 27152,04ncai01 SD,
Ames27153:81FENABXX:4:C1,NC314,NC314,NCRPIS,Ames 27153,06ncei01 SD,
Ames27153:81FENABXX:5:E2,NC314,NC314,NCRPIS,Ames 27153,04ncai01 SD,
Ames27154:81FE7ABXX:1:B6,NC316,NC316,NCRPIS,Ames 27154,04ncai01 SD,
Ames27154:81FENABXX:4:H3,NC316,NC316,NCRPIS,Ames 27154,06ncei01 SD,
Ames27155:81FE8ABXX:7:H11,NC318,NC318,NCRPIS,Ames 27155,06ncei01 SD,
Ames27155:81N4HABXX:1:E11,NC318,NC318,NCRPIS,Ames 27155,04ncai01 SD,
Ames27156:81N4HABXX:1:A1,NC320,NC320,NCRPIS,Ames 27156,04ncai01 SD,
Ames27156:81N4HABXX:1:F8,NC320,NC320,NCRPIS,Ames 27156,06ncei01 SD,
Ames27157:81N4HABXX:1:B4,NC322,NC322,NCRPIS,Ames 27157,06ncei01 SD,
Ames27157:81N4HABXX:1:B7,NC322,NC322,NCRPIS,Ames 27157,04ncai01 SD,
Ames27158:81FE7ABXX:1:A10,NC324,NC324,NCRPIS,Ames 27158,06ncai01 SD,
Ames27158:81FE7ABXX:1:A4,NC324,NC324,NCRPIS,Ames 27158,06ncei01 SD,
Ames27159:81N4HABXX:6:G11,NC326,NC326,NCRPIS,Ames 27159,04ncai01 SD,
Ames27160:81FE7ABXX:3:D12,NC328,NC328,NCRPIS,Ames 27160,04ncai01 SD,
Ames27161:81FE7ABXX:3:F7,NC330,NC330,NCRPIS,Ames 27161,04ncai01 SD,
Ames27161:81N4HABXX:7:B9,NC330,NC330,NCRPIS,Ames 27161,06ncei01 SD,
Ames27162:81N4HABXX:1:C6,NC332,NC332,NCRPIS,Ames 27162,04ncai01 SD,
Ames27162:81N4HABXX:1:D9,NC332,NC332,NCRPIS,Ames 27162,06ncei01 SD,
Ames27163:81FE8ABXX:7:A6,NC334,NC334,NCRPIS,Ames 27163,04ncai01 SD,
Ames27163:81N4HABXX:1:B11,NC334,NC334,NCRPIS,Ames 27163,06ncei01 SD,
Ames27164:81FE7ABXX:4:G8,NC336,NC336,NCRPIS,Ames 27164,04ncai01 SD,
Ames27164:81N4HABXX:3:G9,NC336,NC336,NCRPIS,Ames 27164,06ncei01 SD,
Ames27165:81FE7ABXX:6:F10,NC338,NC338,NCRPIS,Ames 27165,04ncai01 SD,
Ames27165:81N4HABXX:3:C3,NC338,NC338,NCRPIS,Ames 27165,06ncei01 SD,
Ames27166:81FE8ABXX:7:C3,NC340,NC340,NCRPIS,Ames 27166,08ncai01 SD,
Ames27167:81FE7ABXX:1:F8,NC342,NC342,NCRPIS,Ames 27167,04ncai01 SD,
Ames27167:81FE7ABXX:3:C1,NC342,NC342,NCRPIS,Ames 27167,06ncei01 SD,
Ames27168:81FE7ABXX:6:A8,NC344,NC344,NCRPIS,Ames 27168,06ncei01 SD,
Ames27168:81N4HABXX:2:H7,NC344,NC344,NCRPIS,Ames 27168,04ncai01 SD,
Ames27169:81FE8ABXX:7:C1,NC346,NC346,NCRPIS,Ames 27169,08ncai01 SD,
Ames27170:81N4HABXX:1:F12,NC348,NC348,NCRPIS,Ames 27170,06ncei01 SD,
Ames27170:81N4HABXX:2:A1,NC348,NC348,NCRPIS,Ames 27170,04ncai01 SD,
Ames27171:81FE8ABXX:7:C7,NC350,NC350,NCRPIS,Ames 27171,06ncei01 SD,
Ames27171:81FE8ABXX:7:H7,NC350,NC350,NCRPIS,Ames 27171,09ncai01 SD,
Ames27172:81FE7ABXX:7:B4,NC352,NC352,NCRPIS,Ames 27172,04ncai01 SD,
Ames27172:81N4HABXX:2:G6,NC352,NC352,NCRPIS,Ames 27172,06ncei01 SD,
Ames27173:81FE7ABXX:6:E9,NC354,NC354,NCRPIS,Ames 27173,04ncai01 SD,
Ames27173:81FE7ABXX:6:G10,NC354,NC354,NCRPIS,Ames 27173,06ncei01 SD,
Ames27174:81FE7ABXX:4:G12,NC356,NC356,NCRPIS,Ames 27174,04ncai01 SD,
Ames27174:81N4HABXX:2:D7,NC356,NC356,NCRPIS,Ames 27174,06ncei01 SD,
Ames27175:81N4HABXX:3:C5,NC358,NC358,NCRPIS,Ames 27175,06ncei01 SD,
Ames27175:81N4HABXX:3:G5,NC358,NC358,NCRPIS,Ames 27175,04ncai01 SD,
Ames27176:81FE7ABXX:6:D9,NC360,NC360,NCRPIS,Ames 27176,06ncei01 SD,
Ames27176:81FE7ABXX:6:E5,NC360,NC360,NCRPIS,Ames 27176,04ncai01 SD,
Ames27177:81FE7ABXX:1:E11,NC362,NC362,NCRPIS,Ames 27177,04ncai01 SD,
Ames27178:81N4HABXX:7:D4,NC364,NC364,NCRPIS,Ames 27178,04ncai01 SD,
Ames27178:81N4HABXX:7:F2,not included,NC364,NCRPIS,Ames 27178,07ncai01 SD,
Ames27178:D0D0BACXX:4:C4,not included,NC364,NCRPIS,Ames 27178,11711,
Ames27178:D0D0BACXX:4:D4,not included,NC364,NCRPIS,Ames 27178,11882,
Ames27179:81FE7ABXX:7:A10,NC366,NC366,NCRPIS,Ames 27179,04ncai01 SD,
Ames27180:81FE7ABXX:7:G4,NC368,NC368,NCRPIS,Ames 27180,06ncei01 SD,
Ames27180:81FE7ABXX:7:G6,NC368,NC368,NCRPIS,Ames 27180,07ncai01 SD,
Ames27181:81FE7ABXX:7:H4,NC370,NC370,NCRPIS,Ames 27181,04ncai01 SD,
Ames27181:81N4HABXX:3:F6,NC370,NC370,NCRPIS,Ames 27181,06ncei01 SD,
Ames27182:81FE7ABXX:5:G8,NC372,NC372,NCRPIS,Ames 27182,04ncai01 SD,
Ames27182:81N4HABXX:7:B3,NC372,NC372,NCRPIS,Ames 27182,06ncei01 SD,
Ames27183:81N4HABXX:6:C10,Oh43E,Oh43E,NCRPIS,Ames 27183,04ncai01 SD,
Ames27184:81FE7ABXX:5:C6,Pa762,Pa762,NCRPIS,Ames 27184,03ncai01 SD,
Ames27185:81FE7ABXX:5:G9,Pa875,Pa875,NCRPIS,Ames 27185,03ncai01 SD,
Ames27187:81FENABXX:5:A7,R4,R4,NCRPIS,Ames 27187,04ncai01 SD,
Ames27188:81FE7ABXX:2:F12,SA24,SA24,NCRPIS,Ames 27188,03ncai01 SD,
Ames27188:D0D0BACXX:3:C9,SA24,SA24,NCRPIS,Ames 27188,10630,
Ames27189:81N4HABXX:3:E5,SC55,SC55,NCRPIS,Ames 27189,04ncai01 SD,
Ames27190:81N4HABXX:1:G3,T234,T234,NCRPIS,Ames 27190,04ncai01 SD,
Ames27191:81N4HABXX:1:E12,U267Y,U267Y,NCRPIS,Ames 27191,04ncai01 SD,
Ames27192:81FE8ABXX:7:E12,Va14,Va14,NCRPIS,Ames 27192,04ncai01 SD,
Ames27193:81FE7ABXX:5:D2,Va85,Va85,NCRPIS,Ames 27193,04ncai01 SD,
Ames27194:81FE8ABXX:6:F3,W401,W401,NCRPIS,Ames 27194,03ncai01 SD,
Ames27196:81FE8ABXX:1:F7,Yu796_NS,Yu796_NS,NCRPIS,Ames 27196,04ncai01 SD,
Ames27197:D0D0BACXX:3:E10,GEMN-0044,GEMN-0044,NCRPIS,Ames 27197,12078,Germplasm Enhancement of Maize (GEM) Project (www.public.iastate.edu/~usda-gem/Official_Documents/GEM_Germplasm_Releases.htm)
Ames27198:D0D0BACXX:3:H1,GEMN-0045,GEMN-0045,NCRPIS,Ames 27198,12150,Germplasm Enhancement of Maize (GEM) Project (www.public.iastate.edu/~usda-gem/Official_Documents/GEM_Germplasm_Releases.htm)
Ames27199:D0D0BACXX:3:D3,GEMN-0046,GEMN-0046,NCRPIS,Ames 27199,12139,Germplasm Enhancement of Maize (GEM) Project (www.public.iastate.edu/~usda-gem/Official_Documents/GEM_Germplasm_Releases.htm)
Ames27200:D0D0BACXX:3:E6,GEMN-0047,GEMN-0047,NCRPIS,Ames 27200,12112,Germplasm Enhancement of Maize (GEM) Project (www.public.iastate.edu/~usda-gem/Official_Documents/GEM_Germplasm_Releases.htm)
Ames27201:D0D0BACXX:4:C3,GEMN-0048,GEMN-0048,NCRPIS,Ames 27201,12194,Germplasm Enhancement of Maize (GEM) Project (www.public.iastate.edu/~usda-gem/Official_Documents/GEM_Germplasm_Releases.htm)
Ames27202:D0D0BACXX:3:B5,GEMS-0049,GEMS-0049,NCRPIS,Ames 27202,12124,Germplasm Enhancement of Maize (GEM) Project (www.public.iastate.edu/~usda-gem/Official_Documents/GEM_Germplasm_Releases.htm)
Ames27203:D0D0BACXX:3:H3,GEMS-0050,GEMS-0050,NCRPIS,Ames 27203,12135,Germplasm Enhancement of Maize (GEM) Project (www.public.iastate.edu/~usda-gem/Official_Documents/GEM_Germplasm_Releases.htm)
Ames27204:D0D0BACXX:3:E2,GEMS-0051,GEMS-0051,NCRPIS,Ames 27204,12145,Germplasm Enhancement of Maize (GEM) Project (www.public.iastate.edu/~usda-gem/Official_Documents/GEM_Germplasm_Releases.htm)
Ames27205:D0D0BACXX:3:H8,GEMS-0052,GEMS-0052,NCRPIS,Ames 27205,12092,Germplasm Enhancement of Maize (GEM) Project (www.public.iastate.edu/~usda-gem/Official_Documents/GEM_Germplasm_Releases.htm)
Ames27206:D0D0BACXX:3:B3,GEMS-0053,GEMS-0053,NCRPIS,Ames 27206,12141,Germplasm Enhancement of Maize (GEM) Project (www.public.iastate.edu/~usda-gem/Official_Documents/GEM_Germplasm_Releases.htm)
Ames27207:D0D0BACXX:3:H6,GEMS-0054,GEMS-0054,NCRPIS,Ames 27207,12109,Germplasm Enhancement of Maize (GEM) Project (www.public.iastate.edu/~usda-gem/Official_Documents/GEM_Germplasm_Releases.htm)
Ames27208:D0D0BACXX:3:F6,GEMS-0055,GEMS-0055,NCRPIS,Ames 27208,12111,Germplasm Enhancement of Maize (GEM) Project (www.public.iastate.edu/~usda-gem/Official_Documents/GEM_Germplasm_Releases.htm)
Ames27209:D0D0BACXX:4:D2,GEMN-0056,GEMN-0056,NCRPIS,Ames 27209,12187,Germplasm Enhancement of Maize (GEM) Project (www.public.iastate.edu/~usda-gem/Official_Documents/GEM_Germplasm_Releases.htm)
Ames27210:D0D0BACXX:3:E9,GEMN-0057,GEMN-0057,NCRPIS,Ames 27210,12087,Germplasm Enhancement of Maize (GEM) Project (www.public.iastate.edu/~usda-gem/Official_Documents/GEM_Germplasm_Releases.htm)
Ames27211:D0D0BACXX:3:C12,GEMN-0058,GEMN-0058,NCRPIS,Ames 27211,12170,Germplasm Enhancement of Maize (GEM) Project (www.public.iastate.edu/~usda-gem/Official_Documents/GEM_Germplasm_Releases.htm)
Ames27212:D0D0BACXX:3:H2,GEMN-0059,GEMN-0059,NCRPIS,Ames 27212,12143,Germplasm Enhancement of Maize (GEM) Project (www.public.iastate.edu/~usda-gem/Official_Documents/GEM_Germplasm_Releases.htm)
Ames27213:D0D0BACXX:3:F4,GEMN-0060,GEMN-0060,NCRPIS,Ames 27213,12129,Germplasm Enhancement of Maize (GEM) Project (www.public.iastate.edu/~usda-gem/Official_Documents/GEM_Germplasm_Releases.htm)
Ames27214:D0D0BACXX:3:A4,GEMS-0061,GEMS-0061,NCRPIS,Ames 27214,12134,Germplasm Enhancement of Maize (GEM) Project (www.public.iastate.edu/~usda-gem/Official_Documents/GEM_Germplasm_Releases.htm)
Ames27215:D0D0BACXX:3:E1,GEMS-0062,GEMS-0062,NCRPIS,Ames 27215,12153,Germplasm Enhancement of Maize (GEM) Project (www.public.iastate.edu/~usda-gem/Official_Documents/GEM_Germplasm_Releases.htm)
Ames27216:D0D0BACXX:4:E1,GEMS-0063,GEMS-0063,NCRPIS,Ames 27216,12180,Germplasm Enhancement of Maize (GEM) Project (www.public.iastate.edu/~usda-gem/Official_Documents/GEM_Germplasm_Releases.htm)
Ames27217:D0D0BACXX:3:C11,GEMS-0064,GEMS-0064,NCRPIS,Ames 27217,12161,Germplasm Enhancement of Maize (GEM) Project (www.public.iastate.edu/~usda-gem/Official_Documents/GEM_Germplasm_Releases.htm)
Ames27218:D0D0BACXX:3:B1,GEMS-0065,GEMS-0065,NCRPIS,Ames 27218,12156,Germplasm Enhancement of Maize (GEM) Project (www.public.iastate.edu/~usda-gem/Official_Documents/GEM_Germplasm_Releases.htm)
Ames27219:D0D0BACXX:3:B7,GEMS-0066,GEMS-0066,NCRPIS,Ames 27219,12107,Germplasm Enhancement of Maize (GEM) Project (www.public.iastate.edu/~usda-gem/Official_Documents/GEM_Germplasm_Releases.htm)
